distroName,ytPlaylist,tweaksPlaylist
archbang,,
arch,https://www.youtube.com/playlist?list=PLrh2y86lvcJeLcpMeVcMwbODBKBj8wqVm,https://www.youtube.com/playlist?list=PL67B5FFD9848E5DD6
manjaro,https://www.youtube.com/playlist?list=PLrh2y86lvcJcTUd-HPh9CxBvHkrsDGOes,https://www.youtube.com/playlist?list=PLrh2y86lvcJdWswQb8L7CODT56wt-j17x
mmManjaro,,https://www.youtube.com/playlist?list=PLrh2y86lvcJdWswQb8L7CODT56wt-j17x
cbangplusplus,,
antergos,,
pointlinux,,
solyd,,
debian,https://www.youtube.com/playlist?list=PLrh2y86lvcJeeTlI3BEHVMxYbKYy74ABJ,
lmdb,,
makulu,https://www.youtube.com/playlist?list=PLrh2y86lvcJfUVDJsAyJ2EObf_sSPrclh,
bunsenlabs,,
calculate,,
gentoo,,
sabayon,,
puppy,,
kaos,,
solus,https://www.youtube.com/playlist?list=PLrh2y86lvcJcD8h2g2X5ABF09hwXsmOUW,
mageia,https://www.youtube.com/playlist?list=PLrh2y86lvcJc-GsSlO3UJqdoGq3mTMIzh,
openmandriva,,
pclinuxos,https://www.youtube.com/playlist?list=PLrh2y86lvcJcmkhysmXDXLmlmRvM3I8BZ,
rosa,,
centOS,,
fedora,https://www.youtube.com/playlist?list=PLrh2y86lvcJeLcpMeVcMwbODBKBj8wqVm,
opensuse,https://www.youtube.com/playlist?list=PLrh2y86lvcJdhnxr60T_scRoV7Oc3N9f_,
korora,,
elementaryOS,,
deepin,,
lubuntu ,,
peppermint,,
umate,,
kubuntu,,
linuxlite,,
mint,,
lxle,,
ubuntu,,
xubuntu,,
zorin,,
kdeneon,,
ubuntubudgie,,
salix,,
slackware,,
,,
sparky,,
